Name,Dist_ID,District,Prov_ID,Province,Sect_ID,NO2_mean,CO_mean,SO2_mean,O3_mean
Bugeshi,33,Rubavu,3,Western Province,3301,3.683882281250715e-05,0.026620785603890515,5.117812716878623e-05,0.11798967381551966
Busasamana,33,Rubavu,3,Western Province,3302,3.845905168739768e-05,0.029092122621491773,5.656431684624512e-05,0.11833750644399799
Cyanzarwe,33,Rubavu,3,Western Province,3303,4.0759782051121725e-05,0.030641952593004878,5.933713268286686e-05,0.11848459138158869
Gisenyi,33,Rubavu,3,Western Province,3304,4.118402706799375e-05,0.032679288935990876,3.664570994812965e-05,0.11860099878737758
Kanama,33,Rubavu,3,Western Province,3305,3.927313868309462e-05,0.027924804663936268,-1.5305660272514394e-05,0.11820876614383607
Kanzenze,33,Rubavu,3,Western Province,3306,3.967612087440713e-05,0.027970974873125526,1.0726673938501004e-05,0.11823879205084246
Mudende,33,Rubavu,3,Western Province,3307,3.7812396996421824e-05,0.02768663776369756,3.767341310114656e-05,0.118245764839256
Nyakiriba,33,Rubavu,3,Western Province,3308,4.04818120977962e-05,0.029270260975159817,1.4542034546090986e-05,0.11830702103659953
Nyamyumba,33,Rubavu,3,Western Province,3309,4.161059785251627e-05,0.03132507766463236,2.9181126315704902e-05,0.11861402274368275
Nyundo,33,Rubavu,3,Western Province,3310,4.0398565828292446e-05,0.030019516720587572,-4.9771316118598856e-06,0.11840755821149318
Rubavu,33,Rubavu,3,Western Province,3311,4.1412053388974756e-05,0.03188679663472668,3.829341973019227e-05,0.11859217214072557
Rugerero,33,Rubavu,3,Western Province,3312,4.155591548078366e-05,0.03142021606863427,7.853795297651825e-06,0.11854652017005124
Bigogwe,34,Nyabihu,3,Western Province,3401,3.857782776428929e-05,0.02695875270991381,3.8451261712570745e-05,0.1181131466220315
Jenda,34,Nyabihu,3,Western Province,3402,3.686079729793543e-05,0.02626646483027539,4.010780980211449e-05,0.11799301021439726
Jomba,34,Nyabihu,3,Western Province,3403,4.034326656533845e-05,0.028897169256057127,3.929289550250646e-06,0.11843271711746772
Kabatwa,34,Nyabihu,3,Western Province,3404,3.609494613240501e-05,0.02524206416894524,6.677299084622009e-05,0.11795480036170357
Karago,34,Nyabihu,3,Western Province,3405,3.9043583298600195e-05,0.027238749657781773,2.206171099981688e-05,0.11814397454866188
