system:index,NO2_column_number_density,month,sector,year,.geo
0_000000000000000000db,3.45E-05,1,Cyato,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000dc,3.74E-05,1,Gihombo,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000dd,3.71E-05,1,Kagano,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000de,3.72E-05,1,Kanjongo,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000df,3.64E-05,1,Karambi,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000e0,3.44E-05,1,Karengera,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000e1,3.76E-05,1,Kirimbi,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000e2,3.73E-05,1,Macuba,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000e3,3.69E-05,1,Mahembe,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000e4,3.76E-05,1,Nyabitekeri,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000e5,3.54E-05,1,Rangiro,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000e6,3.62E-05,1,Ruharambuga,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000e7,3.74E-05,1,Shangi,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000e8,3.41E-05,1,Base,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000e9,3.68E-05,1,Burega,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000ea,3.48E-05,1,Bushoki,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000eb,3.60E-05,1,Buyoga,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000ec,3.73E-05,1,Cyinzuzi,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000ed,3.45E-05,1,Cyungo,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000ee,3.43E-05,1,Kinihira,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000ef,3.55E-05,1,Kisaro,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000f0,3.88E-05,1,Masoro,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000f1,3.52E-05,1,Mbogo,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
