Prov_ID,Province,Dist_ID,District,Sect_ID,Name,join_key,sector,non_poor,vulnerable,moderately_poor,severely_poor,total,count,district,poverty_rate,poverty_score,poor_population,severely_poor_population
2.0,Southern Province,25.0,Nyamagabe,2510.0,Mbazi,mbazi,Mbazi,47.7,23.5,25.4,3.5,100,13131,Nyamagabe,28.9,14.133333333333333,3794.8589999999995,459.585
2.0,Southern Province,25.0,Nyamagabe,2511.0,Mugano,mugano,Mugano,24.4,28.6,35.8,11.2,100,20993,Nyamagabe,47.0,22.299999999999997,9866.71,2351.216
2.0,Southern Province,25.0,Nyamagabe,2512.0,Musange,musange,Musange,42.1,26.9,26.0,4.9,100,21261,Nyamagabe,30.9,15.6,6569.649,1041.789
2.0,Southern Province,25.0,Nyamagabe,2513.0,Musebeya,musebeya,Musebeya,25.4,30.7,33.7,10.1,100,20453,Nyamagabe,43.800000000000004,21.400000000000002,8958.414,2065.7529999999997
2.0,Southern Province,25.0,Nyamagabe,2514.0,Mushubi,mushubi,Mushubi,29.7,27.6,35.4,7.4,100,14279,Nyamagabe,42.8,20.099999999999998,6111.411999999999,1056.646
2.0,Southern Province,25.0,Nyamagabe,2515.0,Nkomane,nkomane,Nkomane,17.1,30.0,39.7,13.1,100,18174,Nyamagabe,52.800000000000004,24.78333333333333,9595.872000000001,2380.794
2.0,Southern Province,25.0,Nyamagabe,2516.0,Tare,tare,Tare,33.1,29.5,29.2,8.2,100,24364,Nyamagabe,37.4,18.75,9112.136,1997.848
2.0,Southern Province,25.0,Nyamagabe,2517.0,Uwinkingi,uwinkingi,Uwinkingi,27.5,30.7,33.7,8.1,100,25171,Nyamagabe,41.800000000000004,20.400000000000002,10521.478000000001,2038.8509999999997
2.0,Southern Province,26.0,Ruhango,2601.0,Bweramana,bweramana,Bweramana,41.2,25.7,25.7,7.4,100,33764,Ruhango,33.1,16.55,11175.884000000002,2498.536
2.0,Southern Province,26.0,Ruhango,2602.0,Byimana,byimana,Byimana,51.8,23.9,20.2,4.2,100,42413,Ruhango,24.4,12.816666666666668,10348.771999999999,1781.346
2.0,Southern Province,26.0,Ruhango,2603.0,Kabagali,kabagali,Kabagali,34.1,27.9,30.5,7.5,100,27203,Ruhango,38.0,18.566666666666666,10337.14,2040.225
2.0,Southern Province,26.0,Ruhango,2604.0,Kinazi,kinazi,Kinazi,38.5,23.3,28.9,9.2,100,34192,Huye,38.099999999999994,18.116666666666664,13027.151999999996,3145.6639999999998
2.0,Southern Province,26.0,Ruhango,2604.0,Kinazi,kinazi,Kinazi,31.7,23.8,31.2,13.4,100,52274,Ruhango,44.6,21.066666666666666,23314.203999999998,7004.715999999999
2.0,Southern Province,26.0,Ruhango,2605.0,Kinihira,kinihira,Kinihira,32.7,31.4,28.4,7.5,100,27966,Ruhango,35.9,18.45,10039.794,2097.45
2.0,Southern Province,26.0,Ruhango,2605.0,Kinihira,kinihira,Kinihira,44.4,29.9,23.2,2.5,100,17434,Rulindo,25.7,13.966666666666667,4480.538,435.85
2.0,Southern Province,26.0,Ruhango,2606.0,Mbuye,mbuye,Mbuye,31.6,25.0,31.0,12.4,100,47148,Ruhango,43.4,20.7,20462.232,5846.352000000001
2.0,Southern Province,26.0,Ruhango,2607.0,Mwendo,mwendo,Mwendo,40.8,27.1,27.5,4.6,100,26967,Ruhango,32.1,15.983333333333334,8656.407000000001,1240.482
2.0,Southern Province,26.0,Ruhango,2608.0,Ntongwe,ntongwe,Ntongwe,28.8,25.6,33.0,12.6,100,38339,Ruhango,45.6,21.566666666666666,17482.584000000003,4830.714
2.0,Southern Province,26.0,Ruhango,2609.0,Ruhango,ruhango,Ruhango,47.6,22.8,23.0,6.7,100,81828,Ruhango,29.7,14.816666666666665,24302.916,5482.476
