sector,non_poor,vulnerable,moderately_poor,severely_poor,total,count,district
  Rwempasha,37.6,25,25.4,11.9,100,36543,Nyagatare
  Rwimiyaga,33,25.1,28.7,13.2,100,77017,Nyagatare
  Tabagwe,32.3,29.7,28.6,9.5,100,50359,Nyagatare
  Gasange,30.3,25.3,30.9,13.5,100,19365,Gatsibo
  Gatsibo,44.4,24.9,23.9,6.8,100,38071,Gatsibo
  Gitoki,38.7,24.3,28.3,8.6,100,43369,Gatsibo
  Kabarore,42.9,22.9,24.6,9.7,100,69312,Gatsibo
  Kageyo,31.2,26.4,32,10.5,100,25167,Gatsibo
  Kiramuruzi,37.2,27.2,26.7,8.9,100,40762,Gatsibo
  Kiziguro,45.6,23.1,24,7.3,100,39958,Gatsibo
  Muhura,36.9,22.9,29.6,10.6,100,33436,Gatsibo
  Murambi,34.5,28,29.5,8,100,36887,Gatsibo
  Ngarama,35,24.9,29.9,10.2,100,38843,Gatsibo
  Nyagihanga,32.8,24.6,33.8,8.7,100,30114,Gatsibo
  Remera,35.4,23.3,30.7,10.7,100,32297,Gatsibo
  Rugarama,37.7,26.1,27.9,8.3,100,49927,Gatsibo
  Rwimbogo,30.8,29.7,30.1,9.4,100,47136,Gatsibo
  Gahini,38.6,23.3,27.2,10.9,100,44585,Kayonza
  Kabare,33.1,25.4,31.6,9.8,100,40334,Kayonza
  Kabarondo,49.9,21.1,22.1,6.9,100,39019,Kayonza
  Mukarange,61.9,16.5,16.1,5.5,100,58656,Kayonza
  Murama,43.9,24.4,26.3,5.4,100,23624,Kayonza
  Murundi,29.2,25.7,32.5,12.6,100,56261,Kayonza
  Mwiri,38.9,23.2,28,9.8,100,35228,Kayonza
  Ndego,27.7,29.9,32.6,9.9,100,23848,Kayonza
  Nyamirama,44.2,22.1,25.6,8.1,100,38763,Kayonza
  Rukara,45.8,25.3,22.2,6.7,100,37323,Kayonza
  Ruramira,32,24.5,33.1,10.4,100,21972,Kayonza
  Rwinkwavu,38.4,25.2,27.7,8.7,100,36975,Kayonza
  Gahara,35,20.1,34.9,10,100,44137,Kirehe
  Gatore,42.6,23.1,26.2,8.2,100,31413,Kirehe
  Kigarama,34.7,24.3,32.6,8.4,100,37679,Kirehe
  Kigina,45.7,23.3,24.4,6.6,100,35632,Kirehe
  Kirehe,48.6,24.2,21.8,5.3,100,30473,Kirehe
  Mahama,64.1,12.1,20.6,3.2,100,75542,Kirehe
  Mpanga,33.9,25.4,32,8.6,100,39346,Kirehe
  Musaza,38.4,23.3,29.8,8.5,100,30401,Kirehe
  Mushikiri,40.4,25.4,27.7,6.5,100,32965,Kirehe
  Nasho,39.6,26.3,27,7.2,100,33588,Kirehe
  Nyamugari,35.7,24.5,30.4,9.4,100,42145,Kirehe
  Nyarubuye,37.5,24.5,30,8,100,22064,Kirehe
  Gashanda,39.8,23.1,29.1,8,100,20233,Ngoma
  Jarama,24.9,22.7,34.9,17.5,100,31001,Ngoma
  Karembo,40.5,23.1,26.8,9.5,100,17918,Ngoma
  Kazo,40.8,23.4,27.1,8.7,100,33073,Ngoma
  Kibungo,63.9,16.2,16.1,3.8,100,30989,Ngoma
  Mugesera,36.9,24.6,30.4,8.2,100,29814,Ngoma
  Murama,46.1,22.7,25.6,5.6,100,27846,Ngoma
